
00100000000010000000000000000101 ///        addi $t0, $zero, 5
00100000000100001111111111111111 ///        addi $s0, $zero, -1
00000001000100000100100000100000 ///        add $t1, $t0, $s0
00000001001010000101000000100010 ///        sub $t2, $t1, $t0
00100000000111010000000000000100 ///        addi $zero, $sp, 4
10101111101010000000000000000000 ///        sw $t0, 0($sp)
10001111101011000000000000000000 ///        lw $t4, 0($sp)
00010001010100000000000000000010 ///        beq $t2, $s0, jump
00000001000010010000000000011000 ///        mult $t0, $t1
00010101010100000000000000000001 ///  jump: bnq $t2, $s0, jump2
00000000000011000110100010000000 ///  	    sll $t5, $4, 2


00000000000000000000000000000000 ///        add r3 r1 r2 ; reg 3 = reg 1 + reg 2
